id,time_2mi,speed_2mi,speed_2mi_ss,at,rc,vo2max,rer_vo2max,speed_at,rer_at,vo2_at,pct_vo2_at,rer_rc,vo2_rc,pct_vo2_rc
105,13.5,8.888888889,5.777777778,18.583333333333332,22.75,47.2,1.046,6.2,0.87,36.2,76.7,1.06,45.9,97.2
109,14.68,8.174386921,5.313351499,20.166666666666668,23.65,47.2,1.24,6.2,0.91,32.9,69.7,1.11,42.5,90
111,15.82,7.585335019,4.930467762,20.616666666666667,24.183333333333334,46.2,1.206,5.7,0.84,35,75.8,1.03,42.2,91.3
115,17.87,6.715165081,4.364857303,19,22.666666666666668,46.2,1.134,4.7,0.78,29.3,63.4,0.93,38.9,84.2
117,15.37,7.807417046,5.07482108,20.7,24.183333333333334,60.9,1.166,6,0.96,50.7,83.3,1.1,53.7,88.2
120,17.33,6.92440854,4.500865551,20.333333333333332,24.666666666666668,45.2,1.118,5.6,0.88,32.5,71.9,1.02,40.3,89.2
123,20.13,5.961251863,3.874813711,19.25,21.583333333333332,45.2,1.118,4.4,0.86,29.7,65.7,0.93,35.3,78.1
128,16.67,7.198560288,4.679064187,19.733333333333334,23.733333333333334,43.4,1.184,5,0.88,32.9,75.8,1,39.1,90.1
129,11.82,10.15228426,6.598984772,19.9,23.283333333333335,57.5,1.25,7.3,0.89,37.6,65.4,1.03,49.9,86.8
130,15.53,7.726980039,5.022537025,20.266666666666666,22.266666666666666,43.6,1.038,5.8,0.87,32.3,74.1,0.98,33.3,76.4
131,17.15,6.997084548,4.548104956,19.8,24.816666666666666,39.2,1.194,5.3,0.91,25.9,66.1,1.12,35.8,91.3
137,17.32,6.928406467,4.503464203,20.516666666666666,23.516666666666666,45.8,1.1260000000000001,5.2,0.85,34.8,76,1.01,42.3,92.4
139,15.63,7.677543186,4.990403071,21.433333333333334,23.6,48.1,1.162,6.1,0.83,40.3,83.8,0.97,43.5,90.4
140,19.37,6.195147135,4.026845638,20.183333333333334,22.016666666666666,38.1,1.152,4.5,0.87,30,78.7,0.94,33.1,86.9
142,15.9,7.547169811,4.905660377,20.733333333333334,24.066666666666666,51.7,1.1239999999999999,6.2,0.88,40.3,77.9,1.02,45.8,88.6
144,15.68,7.653061224,4.974489796,20.9,23.9,44.9,1.154,6.7,0.88,33.6,74.8,0.95,41.4,92.2
145,13.9,8.633093525,5.611510791,20.966666666666665,22.966666666666665,50.2,1.07,7.3,0.92,39.2,78.1,0.99,44.4,88.4
153,16.75,7.164179104,4.656716418,22.9,26.066666666666666,49.9,1.18,6.6,0.89,34.7,69.5,1.08,43.9,88
156,15.98,7.509386733,4.881101377,20.666666666666668,24.666666666666668,47.3,1.228,5.6,0.86,29.6,62.6,1.03,36.5,77.2
159,15.07,7.96284008,5.175846052,19.75,21.916666666666668,49.5,1.172,5.7,0.89,41,82.8,0.98,43.8,88.5
161,17.9,6.703910615,4.357541899,18.916666666666668,24.25,39.7,1.118,4.6,0.9,30.7,77.3,1.04,37.2,93.7
162,22.68,5.291005291,3.439153439,20.833333333333332,25.166666666666668,34.5,1.058,4.5,0.84,22.1,64.1,0.96,31.7,91.9
166,13.53,8.869179601,5.764966741,20.25,24.416666666666668,55.9,1.118,7.1,0.86,41.1,73.5,1.06,51.2,91.6
179,13.63,8.804108584,5.72267058,20.55,22.55,43.9,1.1340000000000001,6.4,0.89,28.4,64.7,1.04,35.1,80
181,12.63,9.501187648,6.175771971,20.733333333333334,24.733333333333334,58.7,1.038,7.9,0.83,45.5,77.5,1.05,57.7,98.3
182,17.85,6.722689076,4.369747899,19.9,24.066666666666666,39,1.01,4.7,0.83,30.7,78.7,1.08,35.5,91
184,20.1,5.970149254,3.880597015,19.35,23.35,43.4,0.978,3.9,0.8,21.5,49.5,0.97,25.3,58.3
185,14.93,8.037508372,5.224380442,21.15,23.316666666666666,31.1,1.044,6.8,0.81,25.4,81.7,0.96,28.5,91.6
187,13.43,8.935219657,5.807892777,20.416666666666668,23.916666666666668,51.5,0.896,6.9,0.83,36.9,71.7,0.97,47.4,92
190,16.97,7.071302298,4.596346494,19.433333333333334,23.6,38.4,1.046,5,0.82,31.9,83.1,1.06,38.3,99.7
193,17.32,6.928406467,4.503464203,20.4,23.4,46.6,1.176,5.3,0.89,35.8,76.8,1.01,40.1,86.1
196,14.7,8.163265306,5.306122449,20.416666666666668,23.25,53.5,1.166,6.4,0.86,38.3,71.6,1,45.8,85.6
197,16.75,7.164179104,4.656716418,20.683333333333334,23.183333333333334,44,1.25,5.6,0.92,31.5,71.6,1.02,38.3,87
198,12.83,9.353078722,6.079501169,18.383333333333333,22.05,59.6,1.164,6.3,0.74,40.9,68.6,0.94,52.5,88.1
